NO,名称,名称_カナ,緯度,経度,都道府県名,市区町村名,洪水,土砂災害,地震
104,串原コミュニティセンター・ホール,クシハラコミュニティセンターホール,35.26046,137.40627,岐阜県,恵那市,1,1,1
105,串原福祉センター・ホール,クシハラフクシセンターホール,35.26051,137.40582,岐阜県,恵那市,1,1,1
106,メダリオン・ベルグラビアリゾート・クラブハウス,メダリオンベルグラビアリゾートクラブハウス,35.253292,137.429139,岐阜県,恵那市,1,1,1
107,上矢作小学校・グラウンド,カミヤハギショウガッコウグラウンド,35.300429,137.502352,岐阜県,恵那市,1,0,1
108,上矢作小学校・体育館,カミヤハギショウガッコウタイイクカン,35.300364,137.501789,岐阜県,恵那市,1,0,1
109,上矢作コミュニティセンター・駐車場,カミヤハギコミュニティセンターチュウシャジョウ,35.29505,137.484481,岐阜県,恵那市,1,0,0
110,上矢作コミュニティセンター・ホール,カミヤハギコミュニティセンターホール,35.295178,137.484674,岐阜県,恵那市,1,0,0
111,上矢作基幹集落センター・駐車場,カミヤハギキカンシュウラクセンターチュウシャジョウ,35.294493,137.484678,岐阜県,恵那市,1,1,1
112,上矢作基幹集落センター・ホール,カミヤハギキカンシュウラクセンターホール,35.294636,137.484387,岐阜県,恵那市,1,1,1
113,上矢作中学校・グラウンド,カミヤハギチュウガッコウグラウンド,35.291775,137.487188,岐阜県,恵那市,1,1,1
114,上矢作中学校・体育館,カミヤハギチュウガッコウタイイクカン,35.292636,137.48667,岐阜県,恵那市,1,0,1
115,上矢作こども園・グラウンド,カミヤハギコドモエングラウンド,35.274654,137.475401,岐阜県,恵那市,1,1,1
116,上矢作こども園・遊戯室,カミヤハギコドモエンユウギシツ,35.274899,137.475231,岐阜県,恵那市,1,1,1
117,上矢作体育館・駐車場,カミヤハギタイイクカンチュウシャジョウ,35.294882,137.484056,岐阜県,恵那市,1,1,1
118,上矢作体育館・体育館,カミヤハギタイイクカンタイイクカン,35.295166,137.483846,岐阜県,恵那市,1,0,1
119,恵那市福祉センター・会議室,エナシフクシセンターカイギシツ,35.45319,137.41598,岐阜県,恵那市,1,1,1
